id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,False,3,False,27,Lawyer,73,81,93,97,63,80,87
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,female,False,2,False,47,Doctor,90,86,96,100,90,88,90
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,female,False,9,True,13,Government Officer,81,97,95,96,65,77,94
4,Tara,Clark,tara.clark.4@gslingacademy.com,female,False,5,False,3,Artist,71,74,88,80,89,63,86
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,male,False,5,False,10,Social Network Studies,84,77,65,65,80,74,76
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,female,False,2,False,26,Social Network Studies,93,100,67,78,72,80,84
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,male,False,3,True,23,Software Engineer,99,96,97,73,88,76,64
8,George,Short,george.short.8@gslingacademy.com,male,True,2,True,34,Software Engineer,95,95,82,63,84,70,85
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,male,False,6,False,25,Social Network Studies,94,68,94,85,81,74,72
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,female,False,3,True,18,Teacher,98,69,88,71,67,71,73
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,female,False,2,False,7,Teacher,65,60,97,94,71,81,66
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,male,False,1,False,7,Social Network Studies,80,61,100,65,87,64,61
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,female,True,7,False,4,Business Owner,94,59,69,67,89,65,73
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,female,False,10,False,2,Business Owner,66,94,86,100,57,90,63
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,female,False,3,False,39,Doctor,96,90,86,92,92,95,87
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,male,False,6,False,0,Business Owner,94,50,78,64,79,74,84
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,female,False,3,True,30,Scientist,92,64,93,91,80,89,72
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,male,False,2,True,28,Software Engineer,86,83,85,79,93,76,77
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,male,False,1,False,37,Doctor,92,87,92,99,97,87,86
20,Angela,Rios,angela.rios.20@gslingacademy.com,female,False,2,False,27,Software Engineer,99,65,98,75,66,72,100
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,male,True,3,False,15,Software Engineer,100,90,72,98,73,97,72
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,male,False,8,False,4,Business Owner,57,55,78,94,83,88,88
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,female,False,9,False,2,Business Owner,89,72,68,72,71,54,90
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,male,False,9,False,1,Business Owner,50,76,81,55,56,80,79
25,Cassandra,West,cassandra.west.25@gslingacademy.com,female,False,4,False,35,Software Engineer,87,91,90,88,95,88,93
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,female,False,5,False,22,Doctor,92,86,87,81,93,90,99
27,Jason,Williams,jason.williams.27@gslingacademy.com,male,False,3,False,34,Banker,100,77,80,94,63,90,90
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,male,False,0,False,23,Writer,64,75,93,79,81,96,85
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,male,False,1,True,17,Accountant,79,65,99,71,76,77,83
30,Carol,Hill,carol.hill.30@gslingacademy.com,female,False,3,False,19,Accountant,82,100,61,97,30,74,73
31,Angie,Miller,angie.miller.31@gslingacademy.com,female,False,0,False,14,Software Engineer,88,69,87,100,88,85,72
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,female,False,4,False,30,Designer,70,68,92,74,82,85,72
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,male,False,4,False,30,Accountant,77,96,98,89,85,62,62
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,female,False,1,False,24,Banker,99,84,84,78,78,77,68
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,female,False,3,True,31,Social Network Studies,90,93,91,80,86,69,62
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,female,False,1,False,21,Social Network Studies,65,70,78,98,80,66,65
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,male,False,2,True,19,Construction Engineer,99,94,87,71,89,91,96
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,male,False,1,False,29,Construction Engineer,92,100,85,89,81,91,88
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,male,False,4,False,21,Banker,77,64,64,88,94,82,78
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,male,False,4,False,18,Accountant,92,60,66,87,60,83,95
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,female,False,4,False,31,Software Engineer,85,97,64,90,79,81,81
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,male,True,7,False,4,Business Owner,65,55,66,50,88,56,86
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,female,True,6,False,3,Business Owner,93,94,92,77,87,98,63
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,female,False,4,False,3,Game Developer,97,99,85,96,91,68,66
45,David,Gillespie,david.gillespie.45@gslingacademy.com,male,True,4,False,3,Business Owner,54,99,79,57,53,95,83
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,male,True,5,True,5,Business Owner,88,53,50,58,84,53,96
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,female,False,5,True,27,Lawyer,71,85,93,68,100,91,87
48,Billy,Soto,billy.soto.48@gslingacademy.com,male,False,0,True,28,Stock Investor,81,98,74,70,97,65,65
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,female,False,4,False,32,Social Network Studies,80,78,86,80,64,68,100
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,female,False,0,False,14,Accountant,100,89,90,93,30,83,74
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,male,False,6,True,16,Stock Investor,76,72,96,65,89,87,94
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,female,False,2,False,24,Lawyer,99,81,73,70,85,86,61
